lifter,age,bodyWeight,snatch1,snatch2,snatch3,snatchBest,cj1,cj2,cj3,cjBest,total
"Christina Quaile","Women's Masters (40-44) 81kg",80.08,0,0,55,55,0,0,80,80,135
"Helen Benton","Open Women's 71kg",71,33,-36,36,36,40,43,45,45,81
"Chad Seltzer","Men's Masters (35-39) 89kg",82.5,-95,-97,97,97,125,-128,128,128,225
"Henry Manukyan","Open Men's +109kg",182.8,100,-107,-108,100,-120,123,0,123,223
"Jeffrey Luzod","Men's Masters (35-39) +109kg",170.5,80,-85,87,87,112,-117,120,120,207
"James  Zoucha III","Open Men's 89kg",85.15,92,-96,-98,92,-110,113,-115,113,205
"Mark Maldonado","Open Men's 89kg",87.8,64,-67,-67,64,64,68,75,75,139
"SOPHIA McClendon","Open Women's 87kg",83,45,48,55,55,60,67,75,75,130
"Cristina Garcia-Versteegh","Women's Masters (40-44) 64kg",63.8,39,41,43,43,-59,60,63,63,106
"Susannah Perez","Women's Masters (55-59) 64kg",61.05,45,48,-51,48,54,57,-60,57,105
"Vicki Myers","Women's Masters (55-59) 76kg",71.7,36,38,40,40,47,-50,-50,47,87
"Leandra Smith","Women's Masters (45-49) 64kg",62.45,36,-39,-39,36,46,49,-51,49,85
"Erik Davidson","Men's Masters (35-39) 89kg",83.6,80,84,-86,84,108,111,-115,111,195
"Jeremiah Gorman","Open Men's 81kg",80.75,83,88,-93,88,98,-103,-103,98,186
"Seth Bixler","Open Men's 96kg",91.55,77,-80,80,80,97,100,102,102,182
"JJ Harry","Open Men's +109kg",124.55,75,-80,-80,75,85,90,100,100,175
"Christian Lancaster","Open Men's 89kg",85.1,68,-72,72,72,87,90,94,94,166
"Michael Fontanini","Men's Masters (45-49) 81kg",80.95,63,66,70,70,85,90,-95,90,160
"Jessica Ferrari","Open Women's 76kg",73.8,67,70,-73,70,84,87,-90,87,157
"Erika Evans","Open Women's +87kg",95,-61,61,-64,61,80,84,88,88,149
"Eser Unlu","Men's Masters (50-54) 81kg",75.25,54,57,60,60,65,69,74,74,134
"Jessica Castro","Women's Masters (40-44) 71kg",69.85,50,54,58,58,70,75,-80,75,133
"Teresa Garza","Women's Masters (40-44) 59kg",58.9,54,-58,58,58,-68,68,-71,68,126
"Audrey Reinert","Open Women's +87kg",95.6,45,48,51,51,65,-70,70,70,121
"Mary Bays","Women's Masters (35-39) 81kg",80.95,43,46,50,50,53,56,-60,56,106
"Kristin Johnson","Women's Masters (55-59) 71kg",68.15,42,45,47,47,54,57,59,59,106
"Elizabeth Grubbs","Open Women's 64kg",61,-36,36,39,39,50,54,57,57,96
"Jiting Shen","Open Men's 89kg",81.15,32,34,36,36,40,43,46,46,82
"Helen Benton","Open Women's 71kg",71,35,-36,-37,35,-43,45,47,47,82
"Sasha McClain","Women's 14-15 Age Group 64kg",60,23,26,30,30,35,38,42,42,72
"Siyu Liu","Open Women's 64kg",62.15,25,26,28,28,35,38,40,40,68
"Irelyn McClain","Women's 14-15 Age Group 49kg",47.25,15,17,20,20,23,25,28,28,48
"Vinnie Hoffman","Open Men's 89kg",82.6,115,118,-121,118,148,152,155,155,273
"Devin Cloud","Open Men's +109kg",118.21,95,100,105,105,150,155,160,160,265
"Isaac Piper","Open Men's 102kg",97.75,115,120,-125,120,130,-135,-136,130,250
"Oliver Buccicone","Men's Masters (40-44) 102kg",100.9,105,110,-115,110,-135,136,-140,136,246
"Joseph McNulty","Open Men's 109kg",103.6,102,106,-110,106,128,132,-140,132,238
"Soren Bullock","Open Men's 73kg",71.75,94,-99,-102,94,115,-120,122,122,216
"Chad Workman","Open Men's 89kg",88.95,-88,88,92,92,115,118,-121,118,210
"Jonathan Schultz","Men's Masters (45-49) +109kg",124.7,83,86,89,89,112,116,-120,116,205
"Catessa Guadagnoli","Junior Women's 76kg",75.9,72,75,77,77,95,101,-103,101,178
"Emmalee Harding","Open Women's +87kg",101.65,70,73,-76,73,-92,92,95,95,168
"Joe Dang","Open Men's 61kg",55.8,65,68,70,70,85,88,90,90,160
"Leah  Vertullo","Open Women's 71kg",70.35,70,73,75,75,82,85,-88,85,160
"Madison Lapp","Open Women's 76kg",73.9,59,62,65,65,86,91,94,94,159
"Devin Carr","Open Women's +87kg",111,60,65,70,70,70,75,80,80,150
